exp_id,course_name,student_id,test_type,score
1,immune,15,pre,45.4545454545455
1,immune,15,post,75.0
1,internet,15,pre,72.7272727272727
1,internet,15,post,75.0
1,birth,15,pre,63.6363636363636
1,birth,15,post,91.6666666666667
1,star,16,pre,72.7272727272727
1,star,16,post,75.0
1,bulb,16,pre,45.4545454545455
1,bulb,16,post,41.6666666666667
1,immune,16,pre,54.5454545454545
1,immune,16,post,91.6666666666667
1,internet,16,pre,54.5454545454545
1,internet,16,post,75.0
1,birth,16,pre,54.5454545454545
1,birth,16,post,83.3333333333333
1,star,17,pre,72.7272727272727
1,star,17,post,75.0
1,bulb,17,pre,45.4545454545455
1,bulb,17,post,66.6666666666667
1,immune,17,pre,63.6363636363636
1,immune,17,post,91.6666666666667
1,internet,17,pre,54.5454545454545
1,internet,17,post,33.3333333333333
1,birth,17,pre,36.3636363636364
1,birth,17,post,91.6666666666667
1,star,18,pre,54.5454545454545
1,star,18,post,58.3333333333333
1,bulb,18,pre,45.4545454545455
1,bulb,18,post,75.0
1,immune,18,pre,54.5454545454545
1,immune,18,post,50.0
1,internet,18,pre,36.3636363636364
1,internet,18,post,50.0
1,birth,18,pre,9.09090909090909
1,birth,18,post,75.0
1,star,19,pre,81.8181818181818
1,star,19,post,75.0
1,bulb,19,pre,36.3636363636364
1,bulb,19,post,75.0
1,immune,19,pre,54.5454545454545
1,immune,19,post,33.3333333333333
1,internet,19,pre,54.5454545454545
1,internet,19,post,58.3333333333333
1,birth,19,pre,54.5454545454545
1,birth,19,post,91.6666666666667
1,star,20,pre,36.3636363636364
1,star,20,post,75.0
1,bulb,20,pre,27.2727272727273
1,bulb,20,post,41.6666666666667
1,immune,20,pre,63.6363636363636
1,immune,20,post,66.6666666666667
1,internet,20,pre,72.7272727272727
1,internet,20,post,50.0
1,birth,20,pre,45.4545454545455
1,birth,20,post,75.0
1,star,21,pre,100.0
1,star,21,post,91.6666666666667
1,bulb,21,pre,90.9090909090909
1,bulb,21,post,83.3333333333333
1,immune,21,pre,90.9090909090909
1,immune,21,post,83.3333333333333
1,internet,21,pre,81.8181818181818
1,internet,21,post,83.3333333333333
1,birth,21,pre,63.6363636363636
1,birth,21,post,100.0
1,star,22,pre,63.6363636363636
1,star,22,post,75.0
1,bulb,22,pre,54.5454545454545
1,bulb,22,post,75.0
1,immune,22,pre,63.6363636363636
1,immune,22,post,75.0
1,internet,22,pre,81.8181818181818
1,internet,22,post,66.6666666666667
1,birth,22,pre,54.5454545454545
1,birth,22,post,75.0
1,star,23,pre,45.4545454545455
1,star,23,post,25.0
1,bulb,23,pre,18.1818181818182
1,bulb,23,post,16.6666666666667
1,immune,23,pre,45.4545454545455
1,immune,23,post,0.0
1,internet,23,pre,9.09090909090909
1,internet,23,post,16.6666666666667
1,birth,23,pre,45.4545454545455
1,birth,23,post,41.6666666666667
1,star,24,pre,27.2727272727273
1,star,24,post,25.0
1,bulb,24,pre,54.5454545454545
1,bulb,24,post,25.0
1,immune,24,pre,27.2727272727273
1,immune,24,post,33.3333333333333
1,internet,24,pre,9.09090909090909
